0,1,2
Carnatic,spotify:user:particledetector:playlist:0mAolnE4wFFqNSnLdiRXDC,http://open.spotify.com/user/particledetector/playlist/0mAolnE4wFFqNSnLdiRXDC
Ceilidh,spotify:user:particledetector:playlist:6FkWIiVnv9cMCgroIy5gvE,http://open.spotify.com/user/particledetector/playlist/6FkWIiVnv9cMCgroIy5gvE
Cello,spotify:user:particledetector:playlist:3TfufamvPMWd6NwegSELAB,http://open.spotify.com/user/particledetector/playlist/3TfufamvPMWd6NwegSELAB
Celtic Punk,spotify:user:particledetector:playlist:2R069EmTfeB5rkYthUuvze,http://open.spotify.com/user/particledetector/playlist/2R069EmTfeB5rkYthUuvze
Celtic Rock,spotify:user:particledetector:playlist:6AkmHZaZIBG54heAXlgp9x,http://open.spotify.com/user/particledetector/playlist/6AkmHZaZIBG54heAXlgp9x
Chalga,spotify:user:particledetector:playlist:1MR9C8mFBczG29vgp6mnhL,http://open.spotify.com/user/particledetector/playlist/1MR9C8mFBczG29vgp6mnhL
Chamber Choir,spotify:user:particledetector:playlist:2jMdZ8jOtcPzGDLqNJ9Ywr,http://open.spotify.com/user/particledetector/playlist/2jMdZ8jOtcPzGDLqNJ9Ywr
Chamber Pop,spotify:user:particledetector:playlist:3VDn905sjL77AZTaTsIgXO,http://open.spotify.com/user/particledetector/playlist/3VDn905sjL77AZTaTsIgXO
Chanson,spotify:user:particledetector:playlist:2uiLnBcGtS2U8GcMWzHxqb,http://open.spotify.com/user/particledetector/playlist/2uiLnBcGtS2U8GcMWzHxqb
Chicago Blues,spotify:user:particledetector:playlist:7dxoNrW8XGKVq6yHLLiI0M,http://open.spotify.com/user/particledetector/playlist/7dxoNrW8XGKVq6yHLLiI0M
Chicago House,spotify:user:particledetector:playlist:6qwD48tGbRLj6hXnYEWcm7,http://open.spotify.com/user/particledetector/playlist/6qwD48tGbRLj6hXnYEWcm7
Chicago Soul,spotify:user:particledetector:playlist:61inaDM2vAxqaNZm1WUP4E,http://open.spotify.com/user/particledetector/playlist/61inaDM2vAxqaNZm1WUP4E
Chicano Rap,spotify:user:particledetector:playlist:2aivKZ4nVETUJqYQVWEA8X,http://open.spotify.com/user/particledetector/playlist/2aivKZ4nVETUJqYQVWEA8X
Children's Music,spotify:user:particledetector:playlist:1TnaFN77PtvRi0yIOTkAx2,http://open.spotify.com/user/particledetector/playlist/1TnaFN77PtvRi0yIOTkAx2
Chillwave,spotify:user:particledetector:playlist:2IP2zkYzkNenLPvneigykD,http://open.spotify.com/user/particledetector/playlist/2IP2zkYzkNenLPvneigykD
Chinese Opera,spotify:user:particledetector:playlist:1h7ElCouwTxMqBzq1C82Ha,http://open.spotify.com/user/particledetector/playlist/1h7ElCouwTxMqBzq1C82Ha
Chiptune,spotify:user:particledetector:playlist:3EZlG3fprJId6XCL1ONbn8,http://open.spotify.com/user/particledetector/playlist/3EZlG3fprJId6XCL1ONbn8
Choral,spotify:user:particledetector:playlist:5UhLJkomsQPicGkGBb7wIC,http://open.spotify.com/user/particledetector/playlist/5UhLJkomsQPicGkGBb7wIC
Choro,spotify:user:particledetector:playlist:1LDyGyZGQYxap0cNpGNFUt,http://open.spotify.com/user/particledetector/playlist/1LDyGyZGQYxap0cNpGNFUt
Christian Alternative Rock,spotify:user:particledetector:playlist:5yidn4tQ9YhCojJyNb6o2e,http://open.spotify.com/user/particledetector/playlist/5yidn4tQ9YhCojJyNb6o2e
Christian Hardcore,spotify:user:particledetector:playlist:1UcEfOPg8znG9wQMI28sHW,http://open.spotify.com/user/particledetector/playlist/1UcEfOPg8znG9wQMI28sHW
Christian Hip Hop,spotify:user:particledetector:playlist:13WOEuXAqodoz4DpmlCnZE,http://open.spotify.com/user/particledetector/playlist/13WOEuXAqodoz4DpmlCnZE
Christian Metal,spotify:user:particledetector:playlist:4gdhpNQpbtXgXiUSCEhJFQ,http://open.spotify.com/user/particledetector/playlist/4gdhpNQpbtXgXiUSCEhJFQ
Christian Music,spotify:user:particledetector:playlist:2d6HyCjruKtSApqKnnGUMq,http://open.spotify.com/user/particledetector/playlist/2d6HyCjruKtSApqKnnGUMq
Christian Punk,spotify:user:particledetector:playlist:2GK8qBkPhVwC10v4BWDuqS,http://open.spotify.com/user/particledetector/playlist/2GK8qBkPhVwC10v4BWDuqS
Christian Rock,spotify:user:particledetector:playlist:0NOBmbpKIU1yTFko4szaYL,http://open.spotify.com/user/particledetector/playlist/0NOBmbpKIU1yTFko4szaYL
Clarinet,spotify:user:particledetector:playlist:0ro49Sgg6uIl2TCCu12Hdt,http://open.spotify.com/user/particledetector/playlist/0ro49Sgg6uIl2TCCu12Hdt
Classic Rock,spotify:user:particledetector:playlist:4QZcXHwE6Efq5a1KqNo2No,http://open.spotify.com/user/particledetector/playlist/4QZcXHwE6Efq5a1KqNo2No
Classical Guitar,spotify:user:particledetector:playlist:030aSk9FbdXXhiaW5BA2pc,http://open.spotify.com/user/particledetector/playlist/030aSk9FbdXXhiaW5BA2pc
Classical Period,spotify:user:particledetector:playlist:6z18YI83L9jmFABzOFaAt2,http://open.spotify.com/user/particledetector/playlist/6z18YI83L9jmFABzOFaAt2
Colombian Rock,spotify:user:particledetector:playlist:07WBjFnDDVsVOZ5hQADlY3,http://open.spotify.com/user/particledetector/playlist/07WBjFnDDVsVOZ5hQADlY3
Comedy Rock,spotify:user:particledetector:playlist:4z8KUOK7LMTs6oaCwqrrKQ,http://open.spotify.com/user/particledetector/playlist/4z8KUOK7LMTs6oaCwqrrKQ
Complextro,spotify:user:particledetector:playlist:4P751hW4vEMjWS2lcYsHsz,http://open.spotify.com/user/particledetector/playlist/4P751hW4vEMjWS2lcYsHsz
Contemporary Country,spotify:user:particledetector:playlist:1DH4D0Umk6xQwaIGGfYicd,http://open.spotify.com/user/particledetector/playlist/1DH4D0Umk6xQwaIGGfYicd
Contemporary Jazz,spotify:user:particledetector:playlist:4ra0yEQiAv29OiclboumDh,http://open.spotify.com/user/particledetector/playlist/4ra0yEQiAv29OiclboumDh
Cool Jazz,spotify:user:particledetector:playlist:6jhnlqY3ZFvNDGHG5SR1tt,http://open.spotify.com/user/particledetector/playlist/6jhnlqY3ZFvNDGHG5SR1tt
Country Blues,spotify:user:particledetector:playlist:0EOZtLMmtfRkbPc5YXZu7T,http://open.spotify.com/user/particledetector/playlist/0EOZtLMmtfRkbPc5YXZu7T
Country Gospel,spotify:user:particledetector:playlist:3lxGkfT3pTVu8I2eiBoR2C,http://open.spotify.com/user/particledetector/playlist/3lxGkfT3pTVu8I2eiBoR2C
Country Road,spotify:user:particledetector:playlist:01BPvHEtPVN6eY6anB3wTm,http://open.spotify.com/user/particledetector/playlist/01BPvHEtPVN6eY6anB3wTm
Country Rock,spotify:user:particledetector:playlist:5PBqBmQKjD4G9rd5i62ETw,http://open.spotify.com/user/particledetector/playlist/5PBqBmQKjD4G9rd5i62ETw
Crunk,spotify:user:particledetector:playlist:2PMAevtYNJ7XX0NT81SnY8,http://open.spotify.com/user/particledetector/playlist/2PMAevtYNJ7XX0NT81SnY8
Crust Punk,spotify:user:particledetector:playlist:1xzJeLWg3Q9ojO4sGVJ44v,http://open.spotify.com/user/particledetector/playlist/1xzJeLWg3Q9ojO4sGVJ44v
Cuban Rumba,spotify:user:particledetector:playlist:05Tb5aNknsKOBPXwGpsSqO,http://open.spotify.com/user/particledetector/playlist/05Tb5aNknsKOBPXwGpsSqO
Cubaton,spotify:user:particledetector:playlist:4LvWYOXnfEAVg7lWnbbq0j,http://open.spotify.com/user/particledetector/playlist/4LvWYOXnfEAVg7lWnbbq0j
